Transaction,items
1,['Bread']
2,['Scandinavian']
3,"['Cookies', 'Hot chocolate', 'Jam']"
4,['Muffin']
5,"['Bread', 'Coffee', 'Pastry']"
6,"['Medialuna', 'Muffin', 'Pastry']"
7,"['Coffee', 'Medialuna', 'Pastry', 'Tea']"
8,"['Bread', 'Pastry']"
9,"['Bread', 'Muffin']"
10,"['Medialuna', 'Scandinavian']"
11,"['Bread', 'Medialuna']"
12,"['Coffee', 'Jam', 'Pastry', 'Tartine', 'Tea']"
13,"['Basket', 'Bread', 'Coffee']"
14,"['Bread', 'Medialuna', 'Pastry']"
15,"['Mineral water', 'Scandinavian']"
16,"['Bread', 'Coffee', 'Medialuna']"
17,['Hot chocolate']
18,['Farm House']
19,"['Bread', 'Farm House']"
20,"['Bread', 'Medialuna']"
21,"['Bread', 'Coffee', 'Medialuna']"
22,['Jam']
23,"['Muffin', 'Scandinavian']"
24,['Bread']
25,['Scandinavian']
26,['Fudge']
27,['Scandinavian']
28,"['Bread', 'Coffee']"
29,"['Bread', 'Jam']"
30,['Bread']
31,['Basket']
32,"['Muffin', 'Scandinavian']"
33,['Coffee']
34,"['Coffee', 'Muffin']"
35,"['Muffin', 'Scandinavian']"
36,"['Bread', 'Tea']"
37,"['Bread', 'Coffee']"
38,"['Bread', 'Tea']"
39,['Scandinavian']
40,"['Coffee', 'Juice', 'Muffin', 'Tartine']"
41,['Scandinavian']
42,"['Bread', 'Tea']"
43,"['Fudge', 'Scandinavian']"
44,"['Coffee', 'Medialuna']"
45,"['Coffee', 'Hot chocolate', 'Medialuna']"
46,['Coffee']
47,"['Bread', ""Ella's Kitchen Pouches"", 'Jam', 'Juice', 'Muffin']"
48,['Coffee']
49,"['Coffee', 'Medialuna']"
50,"['Bread', 'Victorian Sponge']"
51,['Bread']
52,['Scandinavian']
54,['Bread']
55,"['Coffee', 'Frittata', 'Hearty & Seasonal', 'Tea']"
56,"['Coffee', 'Frittata']"
57,['Scandinavian']
58,"['Hot chocolate', 'Soup', 'Tea', 'Victorian Sponge']"
59,['Tea']
60,"['Coffee', 'Cookies', 'Juice']"
61,['Coffee']
62,"['Coffee', 'Hearty & Seasonal', 'Pick and Mix Bowls', 'Smoothies']"
63,['Coffee']
64,['Cake']
65,"['Coffee', 'Mighty Protein', 'Tartine', 'Tea']"
66,"['Frittata', 'Hearty & Seasonal', 'Mineral water']"
67,"['Hearty & Seasonal', 'Mineral water', 'Muffin']"
68,"['Chicken sand', 'Coffee', 'Frittata', 'Scandinavian', 'Tea']"
69,"['Bread', 'Tea', 'Victorian Sponge']"
70,['Fudge']
71,['Muffin']
72,"['Bread', 'Coffee']"
73,['Bread']
74,"['Bread', 'Coffee']"
75,"['Frittata', 'Jam']"
76,['Coffee']
77,['Scandinavian']
78,['Fudge']
79,"['Coffee', 'Fudge', 'Muffin', 'Tea']"
80,"['Bread', 'Coffee', 'Frittata']"
81,"['Cake', 'Coffee']"
82,"['Bread', 'Tartine']"
83,"['Bread', 'Coffee']"
84,['Bread']
85,"['Coffee', 'Medialuna', 'Pastry']"
86,['Juice']
87,['Bread']
88,"['Coffee', 'Jam']"
89,['Bread']
90,"['Bread', 'Coffee']"
91,['Tea']
92,['Coffee']
93,"['Bread', 'Coke']"
94,['Coffee']
95,"['Farm House', 'Pastry', 'Tea']"
96,"['Coffee', 'Juice', 'Pastry']"
97,"['Coffee', 'Juice', 'Pastry']"
98,['Farm House']
99,"['Bread', 'Coffee', 'Pastry']"
100,['Bread']
101,"['Coffee', 'Pastry']"
102,['Farm House']
103,['Bread']
104,"['Coffee', 'Medialuna', 'Muffin']"
105,"['Cake', 'Coffee', 'Tea']"
106,"['Coffee', 'Pastry']"
107,"['Coffee', 'Tea']"
108,"['Farm House', 'Muffin']"
109,"['Bread', 'Muffin', 'Pastry']"
110,['Pastry']
111,['Coffee']
112,['Coffee']
113,"['Cake', 'Coffee']"
114,['Farm House']
115,['Bread']
116,['Coffee']
117,"['Cake', 'Coffee', 'Cookies', 'My-5 Fruit Shoot']"
118,"['Cookies', 'Pastry', 'Tea']"
119,"['Coffee', 'Muffin']"
120,['Farm House']
121,"['Bread', 'Coffee']"
122,['Cookies']
123,"['Coffee', 'Jam', 'Juice']"
124,"['Coffee', 'Soup']"
125,['Tea']
126,"['Coffee', 'Jam']"
127,['Farm House']
128,"['Coffee', 'Tartine', 'Tea']"
129,"['Cake', 'Coffee']"
130,"['Coffee', 'Muffin']"
131,"['Bread', 'Coffee']"
132,"['Cookies', 'Juice', 'Pick and Mix Bowls', 'Tea']"
133,"['Hearty & Seasonal', 'Soup']"
134,"['Farm House', 'Hearty & Seasonal', 'Tea']"
135,['Bread']
136,"['Soup', 'Tea']"
137,['Farm House']
138,"['Coffee', 'Hearty & Seasonal', 'Soup']"
139,"['Bread', 'Hearty & Seasonal', 'Muffin']"
140,"['Coffee', 'Cookies']"
141,['Bread']
142,"['Muffin', 'Tea']"
143,['Tea']
144,"['Hearty & Seasonal', 'Soup']"
145,"['Coffee', 'Focaccia', 'Tea']"
146,['Sandwich']
147,"['Coffee', 'Tartine']"
148,"['Coffee', 'Fudge']"
149,['Coffee']
150,['Bread']
151,"['Coke', 'Soup']"
152,['Muffin']
153,"['Coffee', 'Cookies', 'Muffin', 'Tea']"
154,"['Coffee', 'Coke', 'Hearty & Seasonal', 'Mighty Protein']"
155,"['Muffin', 'Sandwich', 'Tea']"
156,"['Coffee', 'Muffin']"
157,"['Bread', 'Coffee']"
158,"['Coffee', 'Muffin']"
159,"['Bread', 'Cookies', 'Hot chocolate']"
160,"['Mineral water', 'Muffin']"
161,['Tea']
162,['Muffin']
163,"['Coffee', 'Juice']"
164,"['Coffee', 'Muffin']"
165,['Tea']
166,"['Coffee', 'Muffin']"
167,"['Bread', 'Hearty & Seasonal', 'Mineral water', 'Sandwich']"
168,"['Coffee', 'Tea']"
169,['Mineral water']
170,['Coffee']
171,"['Soup', 'Tea']"
172,"['Bread', 'Coffee']"
173,"['Bread', 'Muffin']"
174,['Coffee']
175,['Bread']
176,"['Coffee', 'Cookies']"
178,"['Coffee', 'Pastry']"
179,"['Coffee', 'Pastry']"
180,"['Jam', 'Tea']"
181,['Tea']
182,"[""Ella's Kitchen Pouches"", 'Pastry']"
183,['Pastry']
184,"['Farm House', 'Tea']"
185,"['Tea', 'Victorian Sponge']"
186,"['Pastry', 'Tea']"
187,['Bread']
188,['Coffee']
189,"['Bread', 'Coffee']"
